Judul,Tanggal,Jam Upload (WIB)
INDONESIA PIMPIN BLOK 8 NEGARA MUSLIM...,2025-12-07,7:30
KEBIJAKAN PRABOWO BIKIN MALAYSIA KEHILANGAN...,2025-12-07,10:00
INDONESIA DIAM-DIAM TANCAPKAN PENGARUH BESAR...,2025-12-07,12:30
FREGAT MERAH PUTIH JADI MONSTER ASEAN...,2025-12-07,16:30
MASUK TV JEPANG‼ TNI GERAM BANTUAN... (Shorts),2025-12-07,17:00
CHINA BANGUN PANGKALAN MILITER DEKAT LAUT RI...,2025-12-07,18:30
VIDEO RAHASIA PRABOWO & MENHAN SJAFRIE BOCOR!...,2025-12-07,20:30
RI BALAS DENDAM‼ DARI BUDAK ENERGI JADI BOS...,2025-12-08,7:30
KOPASSUS GEMBLENG TENTARA BRUNEI SAMPAI PINGSAN...,2025-12-08,13:00
"SINGAPURA DIAMBANG KEBANGKRUTAN, PM WONG...",2025-12-08,15:30
VIDEO RAHASIA PRABOWO & MENHAN... (Shorts),2025-12-08,17:00
WADUH‼ TIBA TIBA INDONESIA GERTAK MEKSIKO...,2025-12-08,19:00
MALAYSIA TERHARU‼ AKSI HEROIK TNI SELAMATKAN...,2025-12-08,20:30
MALAYSIA PANIK! MEDIA ASING BONGKAR PROYEK...,2025-12-09,7:30
"NEGARA PENDUKUNG OPM PANIK, TNI GAGALKAN...",2025-12-09,9:30
MALAYSIA HEBOH! INDONESIA RAKIT SENJATA...,2025-12-09,12:30
MALAYSIA KAGET BUKAN MAIN! PRABOWO DIKAWAL...,2025-12-09,16:15
MALAYSIA TERHARU‼ AKSI HEROIK TNI... (Shorts),2025-12-09,17:01
PM TIMOR LESTE TERDIAM KAGUM TEMUI SULTAN HB X...,2025-12-09,18:15
MALAYSIA PANIK! INDONESIA-RUSIA PERKUAT...,2025-12-09,20:15
TETANGGA KAYA INI AKHIRNYA DIBUAT NGEMIS...,2025-12-10,10:15
MALAYSIA MAKIN IRI! QRIS INDONESIA TEMBUS...,2025-12-10,13:15
MALAYSIA PANIK! INDONESIA-RUSIA... (Shorts),2025-12-10,17:00
"MALAYSIA HERAN! JARANG TERJADI, 6 JET TEMPUR...",2025-12-10,17:15
"DIHINA NEGARA IQ RENDAH, INDONESIA TAMPAR...",2025-12-10,18:30
PRABOWO DISAMBUT LUAR BIASA DI PAKISTAN...,2025-12-10,20:15
"USAI DIKAWAL 6 JET PAKISTAN, PRABOWO TEMUI...",2025-12-11,7:30
MALAYSIA KLAIM BATIK DI DEPAN KONTINGEN...,2025-12-11,10:15
"BATAM JADI MEDAN PERANG, KEKUATAN MARITIM RI...",2025-12-11,13:15
MALAYSIA PANIK! PUTIN SAMBUT PRABOWO...,2025-12-11,16:15
PRABOWO DISAMBUT LUAR BIASA... (Shorts),2025-12-11,17:00
"SERING HINA INDONESIA, KINI SINGAPURA BUNGKAM...",2025-12-11,18:30
DPR MALAYSIA NGOTOT CAPLOK AMBALAT...,2025-12-11,20:15
KOCAK! KLAIM DAMAIKAN KAMBOJA-THAILAND...,2025-12-12,7:15
TAK PERCAYA! MENTERI MALAYSIA TERPUKAU KUNJUNGI...,2025-12-12,13:15
INDONESIA BERSIAP PERANG! MALAYSIA MENGHASUT...,2025-12-12,16:15
DPR MALAYSIA NGOTOT CAPLOK... (Shorts),2025-12-12,17:00
GEMPAR! VIRUS BERBAHAYA MENYERANG MALAYSIA...,2025-12-12,18:15
"KARMA HINA INDONESIA, JUTAAN RAKYAT MALAYSIA...",2025-12-13,8:15
MALAYSIA MARAH BESAR AMBALAT DIAMBIL ALIH...,2025-12-13,11:00
SEPAKAT! RUSIA BANGUN NUKLIR DI KALTIM...,2025-12-13,13:15
DPR MALAYSIA BELAJAR KE KDM SEBUT BETAH...,2025-12-13,17:30
SEKUTU JIRAN LEPAS TANGAN TAK AKAN BANTU...,2025-12-13,19:00
TAK GENTAR! TNI AL HALAU CHINA DAN MALAYSIA...,2025-12-13,20:30
INDONESIA WASPADA PENGIBARAN BENDERA MALAYSIA...,2025-12-14,7:15
MALAYSIA TAK SIAP PERANG GARA-GARA AMBALAT...,2025-12-14,13:15
PRABOWO MURKA‼ MALAYSIA & GAM DINILAI SUDAH...,2025-12-14,16:15
TAK GENTAR! TNI AL HALAU CHINA... (Shorts),2025-12-14,17:00
MALAYSIA KETAKUTAN DIMUSUHI SATU ASEAN!...,2025-12-14,18:30
TIMUR TENGAH MENANGIS HARU‼ GAZA & IRAN...,2025-12-14,21:00
MALAYSIA GAGAL TOTAL! PRABOWO TURUN TANGAN...,2025-12-15,8:00
TNI LEBIH DIPERCAYA DARI PASUKAN PBB SAAT...,2025-12-15,10:15
"PERKUAT AMBALAT, TNI PAMER KEKUATAN MILITER...",2025-12-15,13:15
DPR MALAYSIA HEBOH! KLAIM RELAWANNYA JADI...,2025-12-15,17:00
TIMUR TENGAH MENANGIS HARU‼... (Shorts),2025-12-15,17:00
HEBOH! QRIS INDONESIA TEMBUS ARAB SAUDI...,2025-12-15,18:15
REMEHKAN DAN HINA TKI MALAYSIA DIBANJIRI...,2025-12-15,21:00
"JIKA MALAYSIA NEKAT AJAK PERANG, BEGINILAH...",2025-12-16,7:30
"PRABOWO KIRIM RIBUAN TNI KE PAPUA, SINYAL...",2025-12-16,10:15
MALAYSIA MINTA BANTUAN INDONESIA AKUI...,2025-12-16,13:15
REMEHKAN DAN HINA TKI... (Shorts),2025-12-16,17:00
RUGIKAN NEGARA RP300 TRILIUN‼ TNI TEMBAK...,2025-12-16,17:15
JET TEMPUR T-50i GOLDEN EAGLE TNI AU TEMBUS...,2025-12-16,19:15
NGELUNJAK AJAK PERANG! VIRAL WNA CHINA...,2025-12-17,7:15
VIRAL! CEWEK KAMBOJA SEDIH MINTA BANTUAN...,2025-12-17,10:45
"SIAGA PERANG‼️ MALAYSIA PANIK, SELURUH...",2025-12-17,13:15
MALAYSIA PANIK! RUSIA TAK SEGAN HANTAM...,2025-12-17,17:15
DPR MALAYSIA IRI! PRABOWO SELALU DISAMBUT...,2025-12-17,19:00
DITOLAK THAILAND! MALAYSIA PANIK MINTA...,2025-12-18,7:30
"MALAYSIA KETAR-KETIR, AS–AUSTRALIA–INDIA...",2025-12-18,13:00
SIAP ATAU HANCUR! JIKA PERANG BESAR... (Shorts),2025-12-18,17:01
MALAYSIA-AUSTRALIA KECEWA! PRABOWO TOLAK...,2025-12-19,7:30
RI TOLAK 500 TON BANTUAN MALAYSIA!...,2025-12-19,10:15
MEDIA ASING AKUI MALAYSIA TANPA INDONESIA...,2025-12-19,13:15
MALAYSIA DEG-DEGAN! KRI BALAPUTRADEWA-322...,2025-12-19,16:15
MALAYSIA HERAN DARI MANA DUIT INDONESIA...,2025-12-19,18:15
MALAYSIA GELISAH! INDUSTRI DRONE INDONESIA...,2025-12-19,20:15
KAPOK! POLITISI MALAYSIA SOK PALING...,2025-12-20,7:15
DPR MALAYSIA NGAMUK! SEBUT INDONESIA...,2025-12-20,10:15
MALAYSIA MELONGO! CHINA BERANI TEKAN...,2025-12-20,13:15
JIRAN TERDIAM! TNI KEPUNG MALAYSIA?...,2025-12-20,16:15
MALAYSIA GELISAH! INDUSTRI DRONE... (Shorts),2025-12-20,17:01
KOPASSUS GEMBLENG TENTARA KAMBOJA...,2025-12-20,18:30
MALAYSIA GAGAL TOTAL! KETUA ASEAN...,2025-12-20,20:15
MALAYSIA DI AMBANG KIAMAT! SABAH & SARAWAK...,2025-12-21,7:15
JIRAN KEGEERAN! MALAYSIA MAKSA BANGUN...,2025-12-21,11:00
SINGAPURA & MALAYSIA KIAMAT! JALUR BARU...,2025-12-21,13:15
KACANG LUPA KULIT! DIBANTU TRILIUNAN...,2025-12-21,18:15
KAPOK! POLITISI MALAYSIA SOK... (Shorts),2025-12-21,19:00
50 RIBU PERSONEL TNI-POLRI KEPUNG SUMATERA...,2025-12-21,20:15
FITNAH KEJI! OKNUM JIRAN PELINTIR PIDATO...,2025-12-22,7:45
THAILAND NGAMUK! WARGA MALAYSIA DIUSIR...,2025-12-22,10:15
JIRAN KENA MENTAL! SUKA IKUT CAMPUR...,2025-12-22,13:15
INDONESIA TURUN KE MEDAN TEMPUR! MALAYSIA...,2025-12-22,16:15
JIRAN KEGEERAN! MALAYSIA MAKSA... (Shorts),2025-12-22,17:00
MALAYSIA KENA MENTAL! TNI SIAGA PENUH...,2025-12-22,18:30
INDONESIA-SPANYOL-JERMAN BERSATU TEMBUS...,2025-12-22,20:30
"IRONIS! SOK HASUT ACEH, PADALAH SABAH...",2025-12-23,7:15
KURANG AJAR! MEDIA MALAYSIA FITNAH...,2025-12-23,10:15
DARURAT MILITER ACEH! PRABOWO SERUKAN...,2025-12-23,13:15
INDONESIA-SPANYOL-JERMAN BERSATU... (Shorts),2025-12-23,17:01
MALAYSIA TERANCAM KELAPARAN! ANWAR IBRAHIM...,2025-12-23,17:30
THAILAND NGAMUK! WARGA MALAYSIA DIUSIR...,2025-12-23,18:30
"MALAYSIA KENA CERAMAH"" WARGANYA SENDIRI...""",2025-12-23,20:15
"RI TURUN KE ZONA PERANG, JIRAN TERDIAM...",2025-12-24,7:15
MALAYSIA PANIK! MEDIA JIRAN SOROT RUDAL...,2025-12-24,10:15
PM MALAYSIA DIPERMALUKAN! RI SIAP RAUP...,2025-12-24,13:30
PILIH MALAYSIA ATAU INDONESIA!? JAWABAN...,2025-12-24,16:15
"MALAYSIA KENA CERAMAH"" WARGANYA... (Shorts)""",2025-12-24,17:00
MALAYSIA PROVOKATOR! MELAYU SUMATERA...,2025-12-24,19:15
BANGGAKAN BANTUAN JIRAN! OKNUM ACEH...,2025-12-24,20:15
MALAYSIA HASUT MELAYU SUMATERA & ACEH...,2025-12-25,7:15
LUCU! SITUS GUNUNG PADANG DIKLAIM...,2025-12-25,11:15
MALAYSIA DI AMBANG RUNTUH? 5 WILAYAH...,2025-12-25,14:00
BANGGAKAN BANTUAN JIRAN! OKNUM ACEH... (Shorts),2025-12-25,17:00
MALAYSIA & INGGRIS SAMA SAJA!? HARGA...,2025-12-25,19:00
MALAYSIA TERKEJUT! MANUVER SENYAP...,2025-12-25,20:30
MEDIA MALAYSIA KENA TAMPAR! RI TAK BUTUH...,2025-12-26,7:15
MALAYSIA DI AMBANG BUBAR? NEGERI-NEGERI...,2025-12-26,10:15
MALAYSIA TERDIAM! INDONESIA LEBIH...,2025-12-26,13:30
MALAYSIA KENA AMUK! INDONESIA TUNJUKKAN...,2025-12-26,16:15
MALAYSIA TERKEJUT! MANUVER SENYAP... (Shorts),2025-12-26,17:00
MALAYSIA TERKEJUT! PRABOWO BANGKITKAN...,2025-12-27,7:15
SULTAN ACEH NGAMUK! MALAYSIA HASUT...,2025-12-27,10:15
MODUS BANTUAN MALAYSIA DISISIPI AGENDA...,2025-12-27,13:15
"MALAYSIA DI AMBANG BUBAR! SABAH, SARAWAK...",2025-12-27,16:15
GEGER! PRABOWO ENDUS INTERVENSI... (Shorts),2025-12-27,17:00
MALAYSIA TERDIAM! SOK DEKAT DENGAN AS...,2025-12-27,18:15
GEGER! PRABOWO ENDUS INTERVENSI ASING...,2025-12-27,20:15
MALAYSIA TERDIAM! QRIS INDONESIA RESMI...,2025-12-28,7:15
MALAYSIA KETAR-KETIR! INDONESIA DOBRAK...,2025-12-28,10:15
MAHATHIR NGAMUK! SEBUT MALAYSIA DIJAJAH...,2025-12-28,13:15
JENDERAL GAM ANCAM PRABOWO? TNI-POLRI...,2025-12-28,16:15
IRAN GANDENG PRABOWO SIAPKAN RUDAL...,2025-12-28,18:30
BATAM MELEJIT RESMI GESER DOMINASI...,2025-12-28,20:15
JEPANG DIBIKIN PANIK! MENHAN SJAFRIE...,2025-12-29,7:15
USTADZ MALAYSIA SERUKAN ACEH PISAH...,2025-12-29,10:15
JANGAN TERGODA PROVOKASI! NASIB TIMOR...,2025-12-29,13:15
SABAH DAN SARAWAK BOSAN MISKIN!...,2025-12-29,16:15
BATAM MELEJIT RESMI GESER... (Shorts),2025-12-29,17:01
KEKUATAN TEMPUR INDONESIA NO 1 DI ASEAN...,2025-12-29,19:30
MELAYU SUMATERA & KALIMANTAN BERSATU!...,2025-12-30,8:15
ACEH MENGHINA SUKU JAWA! SULTAN ACEH...,2025-12-30,11:15
TAKTIK GERTAK SAMBAL MALAYSIA GAGAL!...,2025-12-30,13:15
PUTIN KERAHKAN PEMBOM NUKLIR KE SELATAN...,2025-12-30,16:15
SINGAPURA KETAR-KETIR! INILAH TEROBOSAN...,2025-12-30,19:15
GILA TAK ADA TOKO MALAYSIA WARGA...,2025-12-30,20:45
BI4D4B! KELOMPOK ASNLF DEMO DI GEDUNG...,2025-12-31,7:30
KEJAM! BANTUAN BANJIR ACEH DARI RAKYAT...,2025-12-31,10:15
MALAYSIA DIKUCILKAN! THAILAND DAN...,2025-12-31,13:15
MALAYSIA KENA MENTAL! WARGA PERBATASAN...,2025-12-31,16:15
GILA TAK ADA TOKO MALAYSIA... (Shorts),2025-12-31,17:00
JANGAN MAIN API! KAPAL PERANG TNI AL...,2025-12-31,18:30
"DAHSYAT‼ SETELAH GUNCANGKAN KTT ASEAN, PRABOWO BICARA DI KTT APEC KOREA SELATAN",2025-11-01,7:30
GETARKAN KTT APEC‼ MOMEN PRABOWO & PM SELANDIA BARU JADI SOROTAN DUNIA,2025-11-01,9:30
PARLEMEN MALAYSIA MELEDAK LAGI‼ NAMA PRABOWO DIBAHAS PANAS,2025-11-01,12:30
GEMPAR‼ KOREA SELATAN GELISAH DISINDIR PRABOWO DI HADAPAN 20 PEMIMPIN,2025-11-01,16:00
STOP TKI KE MALAYSIA‼️PRABOWO KIRIM 500 RIBU TENAGA KERJA WELDER KE JERMAN,2025-11-01,18:30
HEBOH‼️MALAYSIA KLAIM JADI TUMPUAN SELURUH NEGARA APEC 2025,2025-11-02,7:30
"HEBOH‼ MALAYSIA SEBUT NEGARANYA JADI TUMPUAN DUNIA, PADAHAL SEDANG DIABAIKAN",2025-11-02,12:30
"HEBOH‼ QRIS TEMBUS 1,9 KUADRILIUN BIKIN AMERIKA KETAKUTAN",2025-11-02,19:00
"DPR MALAYSIA MARAH BESAR‼ DISAAT DUNIA KECAM DONALD TRUMP, MALAYSIA MALAH CARI MUKA",2025-11-03,7:30
"GEMPAR‼ PERBEDAAN DI APEC 2025, XI JINPING DATANGI PRABOWO TAPI CUEKKAN PM ANWAR",2025-11-03,9:30
GEMPAR‼ DEMI TARIF 0% MALAYSIA “GADAI MARUAH” NEGARA KE AMERIKA SERIKAT,2025-11-03,13:00
"BANGGA‼ RIBUAN BUS CANGGIH RI SERBU BANGLADESH, MALAYSIA KAGET",2025-11-03,15:30
BANGGA‼ PBB NOBATKAN DESA WISATA PEMUTERAN BALI TERBAIK DUNIA 2025,2025-11-03,19:00
NEGARA ASEAN TERDIAM‼ BUKAN MALAYSIA‼ TIMOR LESTE JUSTRU SEBUT INDONESIA,2025-11-04,7:30
HEBOH‼ TURIS KOREA & JEPANG HERAN MALAYSIA ANEH PENUH BANGLA,2025-11-04,9:30
"PARLEMEN MALAYSIA NGAMUK, POLITIK CARI MUKA KE AMERIKA GAGAL TOTAL",2025-11-04,12:30
"NETIZEN MALAYSIA SERING HINA INDONESIA, SINGAPURA BUNGKAM KESOMBONGAN MALAYSIA",2025-11-04,15:30
"JIRAN DIPENUHI BANGLA, JEPANG KECAM IMIGRAN INDIA JUSTRU PUJI PEKERJA INDONESIA",2025-11-04,19:00
INI BEDANYA NEGARA PALING DERMAWAN DAN NEGARA NO 2 PALING RASIS,2025-11-05,7:30
BEGINI PANIKNYA PARLEMEN MALAYSIA TAKUT ANCAMAN PERANG INDONESIA,2025-11-05,9:30
PROFESOR MALAYSIA AJAK GUNAKAN BAHASA INDONESIA SEBAGAI BAHASA RESMI ASEAN,2025-11-05,13:00
"DIKIRA TAK MAMPU BELI PESAWAT AIRBUS 400, INDONESIA DATANGKAN PESAWAT MILITER",2025-11-05,15:30
"MALAYSIA SERAHKAN KONFLIK KAMBOJA-THAILAND KE TRUMP, SBY MURKA",2025-11-05,18:30
"DPR MALAYSIA NGAMUK, PM ANWAR JADIKAN MALAYSIA BUDAK AMERIKA",2025-11-06,7:30
UEA GANDENG PAPUA UBAH JADI GERBANG INVESTASI INDO-PASIFIK,2025-11-06,10:00
KARMA NGATAIN PRABOWO “BADUT” MALAYSIA MALAH JADI SALES MARKETING AMERIKA,2025-11-06,12:30
"MALAYSIA IRI QRIS MELEDAK 56 JUTA PENGGUNA, KINI DITAKUTI AMERIKA",2025-11-06,15:30
INI ALASAN NEGARA ARAB TAK MAU MALAYSIA MASUK KE GAZA,2025-11-06,19:15
ALASAN THAILAND BELA HABIS-HABISAN INDONESIA SOAL AMBALAT,2025-11-07,7:30
BEGINI BEDANYA‼ LEBIH ENAK MANA⁉ KETURUNAN INDIA MALAYSIA ATAU INDONESIA,2025-11-07,9:30
"ORANG MALAYSIA INI TERKEJUT, KOK BISA RUPIAH LAKU & JADI PRIMADONA",2025-11-07,16:00
MALAYSIA SUMRINGAH TERIMA HIBAH KAPAL DARI AMERIKA SERIKAT,2025-11-07,18:30
HEBOH DIUSIR DISURUH BALIK‼ BEGINI NASIB LAHIR DAN BESAR DI MALAYSIA,2025-11-07,20:30
"JENDERAL THAILAND TUDUH PMX PENGKHIANAT ASEAN, LABELI “BONEKA TRUMP”",2025-11-08,7:30
"MEDIA ASING BONGKAR SKANDAL MALAYSIA, RATUSAN TRILIUN HARTA KARUN",2025-11-08,10:15
"JADI LAWAKAN NEGARA BRICS, MALAYSIA SUKSES BESAR MASUK PERANGKAP TRUMP",2025-11-08,13:00
MALAYSIA DITUDING LANGGAR ETIKA DIPLOMATIK USAI PERMALUKAN PRABOWO,2025-11-08,16:00
"MUAK DENGAN MALAYSIA, CHINA OBOK-OBOK ZEE LAUT CHINA SELATAN MALAYSIA",2025-11-08,19:30
"LANTANG BELA PALESTINA, MALAYSIA KEMBALI TERSISIH TAK DIUNDANG DI TURKI",2025-11-09,7:30
"MALAYSIA KECEWA NGOTOT MAU KIRIM PASUKAN KE GAZA, PBB MALAH TUNJUK INDONESIA",2025-11-09,9:30
"CEMBURU INDONESIA JADI TUMPUAN DUNIA ISLAM, PM ANWAR IBRAHIM MERENGEK",2025-11-09,12:30
DPR MALAYSIA HERAN KAPAL CHINA BERANI TEROBOS ZEE MALAYSIA,2025-11-09,16:00
MALAYSIA TERKEJUT LIHAT INDONESIA PRODUKSI BERAS MELIMPAH,2025-11-09,19:00
"IMPIAN JADIKAN BAHASA MELAYU BAHASA ASEAN KANDAS, BAHASA INDONESIA RESMI DI PBB",2025-11-10,7:30
MANTAN PM MALAYSIA MENANGIS SETELAH TAU NEGARANYA DIJUAL KE AMERIKA,2025-11-10,9:30
JENDERAL THAILAND NGAMUK NEGARANYA IKUT DIGADAIKAN MALAYSIA KE TRUMP,2025-11-10,13:00
MALAYSIA KETAR-KETIR‼ TUDUHAN JENDERAL THAILAND BIKIN ANWAR TERANCAM,2025-11-10,16:00
"MALAYSIA DIKASIH “KAPAL PENSIUNAN” DARI AS, INDONESIA DIKASIH FREGAT CANGGIH",2025-11-10,19:00
"IMPIAN JADIKAN BAHASA MELAYU BAHASA ASEAN KANDAS, BAHASA INDONESIA RESMI DIGUNAKAN UNESCO DI PBB",2025-11-10,7:30
MANTAN PM MALAYSIA MENANGIS SETELAH TAU NEGARANYA DIJUAL & HARUS BERLUTUT KE AMERIKA SERIKAT,2025-11-10,9:30
JENDERAL THAILAND NGAMUK NEGARANYA IKUT DIGADAIKAN MALAYSIA KE TRUMP SERET PM ANWAR,2025-11-10,13:00
MALAYSIA KETAR-KETIR‼ TUDUHAN JENDERAL THAILAND BIKIN KESELAMATAN NYAWA ANWAR IBRAHIM TERANCAM⁉,2025-11-10,16:00
"MALAYSIA DIKASIH “KAPAL PENSIUNAN” DARI AS, INDONESIA DIKASIH CUMA-CUMA FREGAT CANGGIH CHINA",2025-11-10,19:00
"INDONESIA LATIH 667 PASUKAN KONGO, MALAYSIA KETAR-KETIR MAKIN TERSINGKIR",2025-11-11,7:30
"INDONESIA SINGAPURA MAKIN SOLID, MALAYSIA MALAH KEDODORAN SAAT LAUTNYA DIOBOK-OBOK KAPAL CHINA",2025-11-11,10:00
"MALAYSIA TUDING INDONESIA LANGGAR HAM DI PAPUA, PAPUA SEBUT MALAYSIA “PENJARAH KAYU HUTAN KAMI”",2025-11-11,12:30
"GEMPAR‼ AMERIKA BIKIN PANGKALAN MILITER DI MALAYSIA, INDONESIA GERTAK DENGAN HANTU LAUT DI AMBALAT",2025-11-11,19:00
"ROBERT F. KENNEDY Jr. PUJI INDONESIA JADI NEGARA DENGAN PERTUMBUHAN TERCEPAT, BIKIN JIRAN GEMETAR",2025-11-11,20:30
PASUKAN ELITE PERDAMAIAN INDONESIA DIAKUI PENTAGON SEBUT PASUKAN YANG DITAKUTI & BERBAHAYA,2025-11-12,8:00
"RUSIA BONGKAR “DAPUR RAHASIA” TEKNOLOGI KAPAL PERANGNYA KE INDONESIA, SIAP DIPRODUKSI PT PAL",2025-11-12,11:30
"MALAYSIA GELENG KEPALA AKUI INSINYUR KSOT PT PAL INDONESIA TERLALU CANGGIH, BIKIN MALAYSIA TAKJUB",2025-11-12,13:00
"MALAYSIA TAK SADAR‼ PUTIN & XI JINPING SUNGKEM KE SBY, UNDANGAN MALAYSIA MALAH DIABAIKAN",2025-11-12,15:30
"JIRAN “REBUTAN DURIAN” DENGAN SINGAPURA, KINI KLAIM DURIAN BUAH NASIONAL MALAYSIA",2025-11-12,18:30
"INDONESIA SIAPKAN 15.000 HEKTARE UNTUK PALESTINA, MALAYSIA & TIMUR TENGAH GEMPAR",2025-11-12,20:30
"UCAPAN PRESIDEN SOEKARNO JADI KENYATAAN, MAHATHIR MURKA MALAYSIA KINI DIJAJAH AMERIKA SERIKAT",2025-11-13,7:30
"MALAYSIA MASIH KLAIM TUMPUAN DUNIA, THAILAND & KAMBOJA KEMBALI BAKU HANTAM, KARMA LECEHKAN INDONESIA",2025-11-13,9:30
"AKSI PRAJURIT TNI BIKIN ISRAEL CIUT NYALI, NEGARA ARAB BERI PENGHORMATAN BESAR INDONESIA",2025-11-13,13:00
"MALAYSIA KAGET LIHAT PURBAYA UBAH RUPIAH RP 1000 JADI RP 1, TAKUT KALAH SAING!!",2025-11-13,15:30
"PRABOWO TEMUI PAUL KEATING, BARAT MULAI PANIK LIHAT KEBANGKITAN INDONESIA DI KAWASAN INDO-PASIFIK",2025-11-13,20:00
"KAPAL PENGHANCUR RUSIA HOVERCRAFT ZUBR SIAP DIPRODUKSI DI INDONESIA, INI DIA MONSTER LAUT TERBESAR",2025-11-14,7:30
"BANTUAN INDONESIA TIBA DI GAZA, WARGA PALESTINA MENANGIS HARU, RI MAKIN DISEGANI NEGARA ARAB",2025-11-14,9:30
"BERANI GANGGU INDONESIA SIAP DIRUDAL, MALAYSIA MAKIN DIACAK-ACAK CCG, RI SIAPKAN RUDAL KHAN",2025-11-14,13:30
"PBB BERI PENGHORMATAN BESAR, INDONESIA RESMI PIMPIN PEMBENTUKAN PASUKAN PERDAMAIAN GAZA 2025",2025-11-14,16:00
MILITER INDONESIA SEMAKIN KUAT SAMPAI AUSTRALIA MINTA KERJASAMA PERTAHANAN,2025-11-14,18:30
MALING AUTO KETAR-KETIR PTDI ROMBAK PESAWAT N219 JADI PESAWAT PENGINTAI MARITIM BIKIN MALAYSIA PANIK,2025-11-15,7:30
INDONESIA BANGKIT SEBAGAI KEKUATAN MILITER TERBESAR ASEAN WUJUDKAN PERDAMAIAN DUNIA,2025-11-15,11:00
"PRABOWO & RAJA YORDANIA BAHAS MISI PERDAMAIAN GAZA, INDONESIA SIAP KIRIM 20.000 PASUKAN GARUDA",2025-11-15,13:00
MALAYSIA MENIPU⁉️ KLAIM ROMAWI BELAJAR KE MELAYU DAN BOROBUDUR DARI MELAYU,2025-11-15,18:00
THAILAND SEBUT INDONESIA LEBIH LAYAK JADI PEMIMPIN YANG ADIL DARIPADA MALAYSIA,2025-11-15,20:30
"WARGA MALAYSIA KIBARKAN BENDERA MERAH PUTIH, MAU GABUNG KE INDONESIA",2025-11-16,7:30
"EMPAT KAPAL PERANG RI SIAGA DI SELAT MALAKA, ADA APA⁉ MALAYSIA SIAP TEMPUR DI GARIS DEPAN?",2025-11-16,9:30
"KARMA REMEHKAN INDONESIA, SINGAPURA DIHANTAM KRISIS, BANYAK RESTORAN BANGKRUT HARGA SEWA MEROKET!",2025-11-16,13:00
"TURIS CHINA TAK SUKA MAKANAN MALAYSIA, KULINER INDONESIA JUSTRU LAKU KERAS DI CHINA",2025-11-16,15:30
"MALAYSIA KLAIM NEGARA MAJU SETARA EROPA, INDONESIA NEGARA PALING AMAN SEJAJAR DENGAN JERMAN",2025-11-16,20:00
"AUSTRALIA-PAPUA NUGINI BERSATU BENTUK ALIANSI MIRIP NATO, PRABOWO GERAM TAKAN BIARKAN USIK NKRI",2025-11-17,11:00
"TAK PUNYA SENJATA NUKLIR, INDONESIA BIKIN JERMAN-ISRAEL-IRAN KALAH TELAK, MALAYSIA AUTO KEPANASAN",2025-11-17,13:00
"ALIANSI MILITER ISLAM TERBESAR SEDANG DISIAPKAN, INDONESIA JADI KUNCI, BISA HANCURKAN NATO & ISRAEL",2025-11-17,16:00
"PASUKAN ELITE TNI DIKIRIM KE MARKAS OPERASI TERBAIK DUNIA DI YORDANIA, MALAYSIA AUTO GELISAH",2025-11-18,7:30
"MEDIA ASING PUJI TENTARA INDONESIA SETARA NATO PALING KUAT & HUMANIS DI DUNIA, MALAYSIA KEPANASAN",2025-11-18,13:00
"MALAYSIA KETAR-KETIR LIHAT RI SIAP BENTUK 750 BATALYON, PERBATASAN JADI TAMENG RAKSASA NKRI",2025-11-18,17:00
"MILITER MALAYSIA LEMBEK, KAPAL CCG CHINA BEBAS OBOK-OBOK ZEE, TAPI KABUR SAAT DIGERTAK INDONESIA",2025-11-18,18:30
JENDERAL BINTANG 4 AS AKUI CUMA PRABOWO & RAJA YORDANIA PUNYA KEMAMPUAN TEMPUR PALING MEMATIKAN,2025-11-19,7:30
MALAYSIA KICEP LIAT JET TEMPUR F-16 BERHASIL UJI COBA BOM BNT-250 STANDAR NATO BUATAN DALAM NEGERI,2025-11-19,12:30
INDONESIA SIAPKAN PASUKAN PALING MEMATIKAN HANCURKAN PANGKALAN MUSUH DALAM HITUNGAN MENIT,2025-11-19,15:30
"JEPANG IZINKAN AKSES PANGKALAN PERANGNYA UNTUK INDONESIA, MALAYSIA KETAR-KETIR DI SELAT MALAKA",2025-11-19,19:00
"SINGAPURA-MALAYSIA BISA KOCAR-KACIR, INDONESIA SIAP JADI LUMBUNG BERAS ASEAN",2025-11-20,8:00
"UEA & INDONESIA BIKIN KAPAL RUDAL SILUMAN TAK BERAWAK, MALAYSIA PANIK TAKUT DIHANTAM RUDAL",2025-11-20,10:30
"SINGAPURA-MALAYSIA BISA KOCAR-KACIR, INDONESIA SIAP JADI LUMBUNG BERAS ASEAN",2025-11-20,8:00
"UEA & INDONESIA BIKIN KAPAL RUDAL SILUMAN TAK BERAWAK, MALAYSIA PANIK TAKUT DIHANTAM RUDAL",2025-11-20,10:30
"USAI DIPUJI AS, PAKISTAN SEBUT INDONESIA “BERUNTUNG” PUNYA PRESIDEN PRABOWO, JIRAN AUTO MELONGO",2025-11-20,13:00
"CHINESE MALAYSIA NGAMUK, MEREKA DILARANG GUNAKAN BAHASA INDONESIA, DIUSIR PINDAH NEGARA",2025-11-20,16:30
RAKYAT THAILAND MARAH KE MALAYSIA! MENYARANKAN INDONESIA BANTU THAILAND SERANG MALAYSIA,2025-11-20,18:30
