Judul;Tanggal;Jam Upload (WIB);;;;;;;;;;;;;;;;;;;;;;;
TNI BERSIAP PERANG BESAR‼️ KEPUNG BLOK AMBALAT (Shorts);2026-02-15;06.00;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA RIBUT! HARGA LISTRIK MENCEKIK...;2026-02-15;07.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA CIUT NYALI‼️ RI BANGUN 4 MONSTER LAUT...;2026-02-15;10.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA GELISAH! SARAWAK PILIH INDONESIA...;2026-02-15;14.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA PANIK! TNI AL SIKAT 25 TON TIMAH...;2026-02-15;16.15;;;;;;;;;;;;;;;;;;;;;;;
HINA IQ78 DAN REMEHKAN PRODUK RI... (Shorts);2026-02-15;17.00;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA TERUS NGOTOT! SUMATRA JADI INCARAN...;2026-02-15;20.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA RIBUT! HARGA LISTRIK MENCEKIK... (Shorts);2026-02-16;06.00;;;;;;;;;;;;;;;;;;;;;;;
DEMI BISA DATANGKAN BANGLA, MALAYSIA TEGA USIR...;2026-02-16;07.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA MEMANAS! MINYAK KAMI, DUITNYA KEMANA?...;2026-02-16;10.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA KALAH PERANG! RI REBUT NUNUKAN & AMBALAT...;2026-02-16;13.15;;;;;;;;;;;;;;;;;;;;;;;
PRABOWO KUASAI ASEAN! AUSTRALIA MERAPAT KE RI...;2026-02-16;16.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA TERUS NGOTOT! SUMATRA JADI INCARAN... (Shorts);2026-02-16;17.01;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA JEBLOK! RINGGIT NAIK KEDAULATAN DIJUAL?...;2026-02-16;18.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA TERDIAM! PUTIN PILIH PRABOWO, NUKLIR...;2026-02-16;20.15;;;;;;;;;;;;;;;;;;;;;;;
MENGHINA MALAYSIA, NETZ INDONESIA TURUN TANGAN...;2026-02-17;07.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA LAPORKAN RI KE INGGRIS! TAKUT ANCAMAN...;2026-02-17;10.15;;;;;;;;;;;;;;;;;;;;;;;
GEMPARKAN ASEAN! WARGA INDONESIA DIHABISI...;2026-02-17;13.15;;;;;;;;;;;;;;;;;;;;;;;
TIMOR LESTE INGATKAN PAPUA: JANGAN PISAH...;2026-02-17;16.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA TERDIAM! PUTIN PILIH PRABOWO... (Shorts);2026-02-17;17.15;;;;;;;;;;;;;;;;;;;;;;;
SESUMBAR EJEK INDONESIA, KEADAAN TIMOR LESTE...;2026-02-17;18.15;;;;;;;;;;;;;;;;;;;;;;;
KURANG AJAR! SINGAPURA INGIN SEWA BATAM...;2026-02-17;20.15;;;;;;;;;;;;;;;;;;;;;;;
5 WILAYAH MALAYSIA TERANCAM PECAH INGINKAN...;2026-02-18;07.30;;;;;;;;;;;;;;;;;;;;;;;
PM MALAYSIA PUSING! SABAH INGIN GABUNG...;2026-02-18;10.15;;;;;;;;;;;;;;;;;;;;;;;
PRABOWO PERINTAHKAN ANGKAT SENJATA!...;2026-02-18;13.15;;;;;;;;;;;;;;;;;;;;;;;
NEKAT CAPLOK WILAYAH! MALAYSIA KIRIM KAPAL...;2026-02-18;16.15;;;;;;;;;;;;;;;;;;;;;;;
FPDA BELA MALAYSIA! INDONESIA TAK GENTAR...;2026-02-18;19.30;;;;;;;;;;;;;;;;;;;;;;;
RI LAKUKAN SIMULASI PERANG BESAR!...;2026-02-18;04.30;;;;;;;;;;;;;;;;;;;;;;;
JIRAN GEMETAR LIHAT PASUKAN ELIT...;2026-02-19;09.30;;;;;;;;;;;;;;;;;;;;;;;
KOCAK! MALAYSIA KLAIM TENTARA TERKUAT...;2026-02-19;12.30;;;;;;;;;;;;;;;;;;;;;;;
NGAMUK! KANTOR PM ANWAR DI BAKAR MASSA...;2026-02-19;15.30;;;;;;;;;;;;;;;;;;;;;;;
KURANG AJAR! SINGAPURA INGIN SEWA... (Shorts);2026-02-19;17.00;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA TERLALU BERANI ANCAM PERANG...;2026-02-19;18.00;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA PANIK! INDONESIA STOP EKSPOR...;2026-02-19;20.30;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA GEMETAR LIHAT KEDATANGAN KAPAL...;2026-02-20;04.30;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA HINA RI! 5 NEGARA PENGECUT...;2026-02-20;09.30;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA KAGET! INDONESIA-VIETNAM BERSATU...;2026-02-20;12.30;;;;;;;;;;;;;;;;;;;;;;;
MURKA! PARA RAJA NUSANTARA BERSATU!...;2026-02-20;15.30;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA PANIK! INDONESIA STOP EKSPOR... (Shorts);2026-02-20;17.00;;;;;;;;;;;;;;;;;;;;;;;
TERANCAM BUBAR! SINGAPURA GABUNG...;2026-02-20;18.00;;;;;;;;;;;;;;;;;;;;;;;
GEMPAR! PRABOWO PANGGIL SEMUA JENDERAL...;2026-02-20;20.30;;;;;;;;;;;;;;;;;;;;;;;
TAKUT HADAPI INDONESIA SENDIRIAN...;2026-02-21;04.30;;;;;;;;;;;;;;;;;;;;;;;
PRABOWO AKTIFKAN DARURAT MILITER‼️...;2026-02-21;09.30;;;;;;;;;;;;;;;;;;;;;;;
JUTAAN RAKYAT SINGAPURA PINDAH KE BATAM...;2026-02-21;12.30;;;;;;;;;;;;;;;;;;;;;;;
RAKYAT MALAYSIA KAGET INDONESIA BERANI...;2026-02-21;15.15;;;;;;;;;;;;;;;;;;;;;;;
GEMPAR! PRABOWO PANGGIL SEMUA... (Shorts);2026-02-21;17.15;;;;;;;;;;;;;;;;;;;;;;;
GEMPAR! RI PIMPIN 7 NEGARA DI GAZA...;2026-02-21;20.30;;;;;;;;;;;;;;;;;;;;;;;
GOKIL! INDONESIA TAKLUKKAN TARIF 0%...;2026-02-22;04.30;;;;;;;;;;;;;;;;;;;;;;;
ANCAM PERANG INDONESIA! MALAYSIA DIBUAT...;2026-02-22;09.30;;;;;;;;;;;;;;;;;;;;;;;
BERANI GANGGU KEDAULATN RI! MALAYSIA...;2026-02-22;12.30;;;;;;;;;;;;;;;;;;;;;;;
5 NEGARA DEKLARASIKAN PERANG! JIRAN...;2026-02-22;16.30;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA HERAN !! TRUMP PUJI HABIS-HABISAN...;2026-02-22;18.15;;;;;;;;;;;;;;;;;;;;;;;
SUMUR MINYAK MENGERING TOTAL TIMOR LESTE...;2026-02-23;09.15;;;;;;;;;;;;;;;;;;;;;;;
PRABOWO TABUH GENDERANG PERANG! PM ANWAR...;2026-02-23;15.30;;;;;;;;;;;;;;;;;;;;;;;
GEMPAR! RI PIMPIN 7 NEGARA DI GAZA... (Shorts);2026-02-23;17.15;;;;;;;;;;;;;;;;;;;;;;;
HINA DAN EJEK RUPIAH LEMAH, PRABOWO...;2026-02-23;18.15;;;;;;;;;;;;;;;;;;;;;;;
JIRAN BERKHIANAT! PRABOWO MARAH BESAR...;2026-02-23;20.30;;;;;;;;;;;;;;;;;;;;;;;
HANTU LAUT SIAP BUNGKAM PROVOKASI MALAYSIA!...;2026-02-24;09.30;;;;;;;;;;;;;;;;;;;;;;;
SALAH CARI LAWAN! KORSEL ALAMI BANGKRUT...;2026-02-24;15.30;;;;;;;;;;;;;;;;;;;;;;;
JIRAN BERKHIANAT! PRABOWO MARAH BESAR... (Shorts);2026-02-24;17.10;;;;;;;;;;;;;;;;;;;;;;;
DUEL SENGIT DI LAUT SAWU! KRI DIPONEGORO 365...;2026-02-24;18.15;;;;;;;;;;;;;;;;;;;;;;;
MEDIA ASING HEBOH KRI BUNG TOMO-357 GUNCANG...;2026-02-24;20.30;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA TAK BERKUTIK‼️ GARIS BATAS DIUTAK-ATIK...;2026-02-25;09.30;;;;;;;;;;;;;;;;;;;;;;;
KARMA CAPLOK WILAYAH RI‼️ THAILAND NGAMUK...;2026-02-25;15.30;;;;;;;;;;;;;;;;;;;;;;;
SEMENAKUTKAN ITUKAH INDONESIA⁉️ 5 NEGARA...;2026-02-26;09.30;;;;;;;;;;;;;;;;;;;;;;;
JALUR NARKOBA MALAYSIA MENGGILA...;2026-02-26;16.15;;;;;;;;;;;;;;;;;;;;;;;
LAGI‼️ FIJI-BANGLADESH BORONG 1000++ BUS...;2026-02-26;18.15;;;;;;;;;;;;;;;;;;;;;;;
MEDIA ASING HEBOH KRI BUNG TOMO-357... (Shorts);2026-02-26;19.01;;;;;;;;;;;;;;;;;;;;;;;
RI GEBER ASEAN! JIRAN TAK BISA TIDUR...;2026-02-26;20.30;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA MENANGIS‼️ INDONESIA STOP EKSPOR...;2026-02-27;09.30;;;;;;;;;;;;;;;;;;;;;;;
DI AMBANG KIAMAT? Kenapa Negara Arab Gemetar...;2026-02-27;12.30;;;;;;;;;;;;;;;;;;;;;;;
PRABOWO BUNGKAM DUNIA‼️3 NEGARA ASEAN RESMI...;2026-02-27;17.00;;;;;;;;;;;;;;;;;;;;;;;
RI GEBER ASEAN! JIRAN TAK BISA TIDUR... (Shorts);2026-02-27;18.00;;;;;;;;;;;;;;;;;;;;;;;
KRAN GAS DITUTUP‼️ SINGAPURA & MALAYSIA...;2026-02-27;20.30;;;;;;;;;;;;;;;;;;;;;;;
DI AMBANG KIAMAT Kenapa Negara Arab Gemetar;2026-02-28;04.30;;;;;;;;;;;;;;;;;;;;;;;
JET TUA, BIAYA GILA, HASIL NIHIL‼️PERTAHANAN...;2026-02-28;07.30;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA SOMBONGKAN RINGGIT, TAPI WARGANYA...;2026-02-28;10.15;;;;;;;;;;;;;;;;;;;;;;;
PRABOWO AKAN BUAT INDONESIA SALIP SINGAPURA...;2026-02-28;13.15;;;;;;;;;;;;;;;;;;;;;;;
PAPUA RESMI JADI PUSAT PANGAN DUNIA...;2026-02-28;16.30;;;;;;;;;;;;;;;;;;;;;;;
KRAN GAS DITUTUP‼️ SINGAPURA & MALAYSIA... (Shorts);2026-02-28;17.00;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA KAGET‼️ INDONESIA BANTU YORDANIA...;2026-02-28;18.15;;;;;;;;;;;;;;;;;;;;;;;
INDONESIA RAJA THORIUM DUNIA‼️ SEMUA PABRIK...;2026-02-28;20.30;;;;;;;;;;;;;;;;;;;;;;;
RUDAL IRAN TARGETKAN BURJ KHALIFA... (Shorts);2026-02-28;03.30;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA KAGET BESAR! RINGGIT DITOLAK...;2026-03-01;20.30;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA BERANI CARI PERKARA! ANCAM PRABOWO...;2026-03-01;19.00;;;;;;;;;;;;;;;;;;;;;;;
DPR MALAYSIA SYOK BERAT LIHAT IKN...;2026-03-01;17.30;;;;;;;;;;;;;;;;;;;;;;;
IRAN MAU BOM SAUDI! ARAB MINTA TOLONG...;2026-03-01;13.30;;;;;;;;;;;;;;;;;;;;;;;
JENDERAL MALAYSIA ANCAM TKI! DUNIA KECAM...;2026-03-01;10.15;;;;;;;;;;;;;;;;;;;;;;;
DETIK-DETIK MALAYSIA HANCUR? 70 NEGARA HUJAT...;2026-03-01;07.30;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA MELONGO! PRABOWO DISAMBUT 7 PENGUASA...;2026-03-02;20.30;;;;;;;;;;;;;;;;;;;;;;;
BUKAN MAIN! RI NEKAT TEROBOS PERANG...;2026-03-02;18.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA MAKIN KURANG AJAR! CURI TIMAH...;2026-03-02;16.00;;;;;;;;;;;;;;;;;;;;;;;
KULINER INDONESIA JAJAH MASTERCHEF DUNIA!...;2026-03-02;13.15;;;;;;;;;;;;;;;;;;;;;;;
SYOK RI NEGARA PALING AMAN! AS SERANG IRAN...;2026-03-02;10.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA RESMI BANGKRUT! RAJA MALAYSIA...;2026-03-02;07.30;;;;;;;;;;;;;;;;;;;;;;;
OPM KOCAR-KACIR‼️ PESAN KERAS BUAT AUSTRALIA...;2026-03-03;20.15;;;;;;;;;;;;;;;;;;;;;;;
RI GUNCANG DUNIA, JET TEMPUR KF-21 BORAMAE...;2026-03-03;16.00;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA GEMETAR‼️ INDONESIA RESMI BORONG...;2026-03-03;13.15;;;;;;;;;;;;;;;;;;;;;;;
BANGKRUT‼️ EJEK INDONESIA MISKIN...;2026-03-03;10.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA KIAMAT‼️ FILIPINA RESMI CAPLOK SABAH...;2026-03-03;07.15;;;;;;;;;;;;;;;;;;;;;;;
KIBARKAN BENDERA PERANG! RI-MALAYSIA WASPADA...;2026-03-04;21.00;;;;;;;;;;;;;;;;;;;;;;;
HARGA DIRI BANGSA DIINJAK-INJAK MALAYSIA!...;2026-03-04;18.15;;;;;;;;;;;;;;;;;;;;;;;
OPM KOCAR-KACIR‼️ PESAN KERAS BUAT AUSTRALIA... (Shorts);2026-03-04;17.00;;;;;;;;;;;;;;;;;;;;;;;
KARMA AMBALAT NYATA! KINI MALAYSIA MERADANG...;2026-03-04;15.15;;;;;;;;;;;;;;;;;;;;;;;
SERING HINA RI! RAJA MALAYSIA UMUMKAN MALAYSIA BANGKRUT...;2026-03-05;18.15;;;;;;;;;;;;;;;;;;;;;;;
FILIPINA RESMI CAPLOK SABAH‼️ KARMA CAPLOK... (Shorts);2026-03-05;17.01;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA BANGGA BELI RUDAL NSM-NORWEGIA!...;2026-03-05;16.15;;;;;;;;;;;;;;;;;;;;;;;
20 NEGARA MERINDING! TNI AL KIRIM FREGAT SILUMAN...;2026-03-05;13.15;;;;;;;;;;;;;;;;;;;;;;;
INDONESIA-TURKI RESMI BERSATU! PT DI UBAH CN235...;2026-03-05;10.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA DI AMBANG BUBAR? RAKYAT SABAH-SARAWAK...;2026-03-05;07.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA KLAIM SUKU DAYAK, INILAH 5 SUKU DI INDONESIA...;2026-03-06;18.15;;;;;;;;;;;;;;;;;;;;;;;
BEDA JAUH DENGAN NEGARA ASALNYA! BULE INI JATUH CINTA...;2026-03-06;15.15;;;;;;;;;;;;;;;;;;;;;;;
MEMALUKAN! EJEK DAN HINA RUPIAH LEMAH...;2026-03-06;10.15;;;;;;;;;;;;;;;;;;;;;;;
BUKBER DIPENUHI BANGLADESH! RIBUAN RAKYAT...;2026-03-06;07.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA MULAI GELISAH‼️ IKN 95% JADI...;2026-03-07;21.00;;;;;;;;;;;;;;;;;;;;;;;
KIBARKAN BENDERA PERANG! RI-MALAYSIA... (Shorts);2026-03-07;19.01;;;;;;;;;;;;;;;;;;;;;;;
DUNIA GEMETAR! MEDIA AMERIKA BOCORKAN...;2026-03-07;16.15;;;;;;;;;;;;;;;;;;;;;;;
22 NEGARA SERENTAK DEKLARASIKAN PERANG‼️...;2026-03-07;13.15;;;;;;;;;;;;;;;;;;;;;;;
TIMOR LESTE IRI LIHAT KEMAJUAN PESAT PAPUA‼️...;2026-03-07;10.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA KENA KARMA‼️ DULU EJEK INDONESIA MISKIN...;2026-03-07;07.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA PANIK‼️ INDONESIA BANGKIT DI BORNEO...;2026-03-08;22.00;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA MULAI GELISAH‼️ IKN 95% JADI... (Shorts);2026-03-08;19.00;;;;;;;;;;;;;;;;;;;;;;;
GEMPAR! RUSIA KIRIM BANTUAN SENYAP KE IRAN...;2026-03-08;16.15;;;;;;;;;;;;;;;;;;;;;;;
ISRAEL MELEDAK! RUDAL 1 TON IRAN RATAKAN...;2026-03-08;13.15;;;;;;;;;;;;;;;;;;;;;;;
ISRAEL TERBAKAR! IRAN LUNCURKAN RUDAL...;2026-03-08;10.15;;;;;;;;;;;;;;;;;;;;;;;
RUSIA KERAKAN PESAWAT NUKLIR...;2026-03-08;07.15;;;;;;;;;;;;;;;;;;;;;;;
ISRAEL TERBAKAR! IRAN LUNCURKAN RUDAL... (Re-upload);2026-03-08;04.41;;;;;;;;;;;;;;;;;;;;;;;
KARMA INSTAN‼️ DULU HINA TKI, SEKARANG WARGA MALAYSIA...;2026-03-09;22.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA PANIK‼️ INDONESIA BANGKIT DI BORNEO... (Shorts);2026-03-09;19.00;;;;;;;;;;;;;;;;;;;;;;;
IRAN NGAMUK‼️ LUNCURKAN 700 RUDAL BALISTIK...;2026-03-09;18.15;;;;;;;;;;;;;;;;;;;;;;;
BAGAIMANA JIKA MALAYSIA NEKAT AJAK PERANG⁉️...;2026-03-09;16.42;;;;;;;;;;;;;;;;;;;;;;;
AS INCAR URANIUM‼️ TRUMP SIAGAKAN PASUKAN...;2026-03-09;13.15;;;;;;;;;;;;;;;;;;;;;;;
IRAN MENGAMUK‼️ SITUS NUKLIR DAN JET TEMPUR...;2026-03-09;10.15;;;;;;;;;;;;;;;;;;;;;;;
TNI SIAGA 1 HADAPI PERANG TIMUR TENGAH!...;2026-03-09;07.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA-SINGAPURA PANIK‼️ SAWIT RI RAJAI AMERIKA...;2026-03-10;07.15;;;;;;;;;;;;;;;;;;;;;;;
BIKIN NGAKAK‼️ MALAYSIA DAFTARKAN BUDAYA SARAPAN PAGI...;2026-03-10;10.15;;;;;;;;;;;;;;;;;;;;;;;
TERBARU‼️ WOW WAJAH BARU MALAYSIA BERUBAH SEKETIKA...;2026-03-10;13.15;;;;;;;;;;;;;;;;;;;;;;;
IRAN DENDAM‼️ PASCA AS-ISRAEL BOM KILANG MINYAK IRAN...;2026-03-11;07.15;;;;;;;;;;;;;;;;;;;;;;;
IRAN GERTAK AS‼️ TRUMP SIAP RATAKAN TEHERAN...;2026-03-11;10.15;;;;;;;;;;;;;;;;;;;;;;;
AMERIKA KESAL! KEWALAHAN TANGKAL RATUSAN RUDAL...;2026-03-11;13.15;;;;;;;;;;;;;;;;;;;;;;;
DPR MALAYSIA KISRUH‼️ SABAH SARAWAK INGIN LEPAS...;2026-03-11;16.15;;;;;;;;;;;;;;;;;;;;;;;
CINDO SURABAYA BIKIN IRI‼️ DI MALAYSIA TAK MAU...;2026-03-11;18.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA-SINGAPURA LUMPUH‼️ SELAT HORMUZ DITUTUP...;2026-03-12;07.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA DIKUASAI ASING‼️ DULU HINA TKI‼️...;2026-03-12;10.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA TERANCAM HANCUR‼️ SABAH-SARAWAH SIAP MERDEKA⁉️...;2026-03-12;13.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA-SINGAPURA GEMETAR! INDONESIA-JEPANG-AMERIKA...;2026-03-12;18.15;;;;;;;;;;;;;;;;;;;;;;;
KARMA INSTAN‼️ DULU HINA TKI, SEKARANG WARGA MALAYSIA... (Shorts);2026-03-12;19.01;;;;;;;;;;;;;;;;;;;;;;;
HEBOH‼️ KECANDUAN PRODUK RI, WARGA MALAYSIA RAMAI-RAMAI...;2026-03-12;20.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA TERKEJUT! HINA IQ78, INDONESIA BANGUN PUSAT SAINS...;2026-03-13;07.15;;;;;;;;;;;;;;;;;;;;;;;
WARGA MEREKA MULAI TINGGALKAN BAHASA SENDIRI...;2026-03-13;10.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA TERSAINGI! KERETA BUATAN INDONESIA...;2026-03-13;13.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA HEBOH! TKI DIUSIR DIHINA, BANGLADESH BANJIRI...;2026-03-13;18.30;;;;;;;;;;;;;;;;;;;;;;;
JET AS TERBAKAR‼️ MARKAS IDF RATA, ISRAEL HANCUR LEBUR...;2026-03-14;07.15;;;;;;;;;;;;;;;;;;;;;;;
HEBOH PULUHAN NEGARA SIAP SERANG INDONESIA...;2026-03-14;10.15;;;;;;;;;;;;;;;;;;;;;;;
TURIS MALAYSIA DIEJEK SAAT NGOMONG BHS MELAYU...;2026-03-14;13.15;;;;;;;;;;;;;;;;;;;;;;;
BOM NUKLIR B52 TERPARKIR DI SINGAPURA‼️ PRABOWO WASPADA‼️...;2026-03-14;16.15;;;;;;;;;;;;;;;;;;;;;;;
KEBOHONGAN ISRAEL TERBONGKAR! MANIPULASI KEMATIAN...;2026-03-14;18.30;;;;;;;;;;;;;;;;;;;;;;;
HEBOH‼️ KECANDUAN PRODUK RI, WARGA MALAYSIA... (Shorts);2026-03-14;19.01;;;;;;;;;;;;;;;;;;;;;;;
NGAKAK KOCAK❗ NETIZEN MALAYSIA KESAL LAGU RAYA SENDIRI...;2026-03-14;20.15;;;;;;;;;;;;;;;;;;;;;;;
NETANYAHU RESMI TEWAS? DIKIRA MASIH ADA TERNYATA AI...;2026-03-15;07.15;;;;;;;;;;;;;;;;;;;;;;;
TITISAN KHAMENEI BANGKIT! KEMUNCULAN MOJTABA...;2026-03-15;10.15;;;;;;;;;;;;;;;;;;;;;;;
2 NEGARA PALING ANGKUH ASEAN RESMI RUNTUH TOTAL!...;2026-03-15;13.15;;;;;;;;;;;;;;;;;;;;;;;
🔴 BREAKING NEWS: RUDAL NUKLIR SEJJIL IRAN RATAKAN... (Live);2026-03-15;14.13;;;;;;;;;;;;;;;;;;;;;;;
JET TEMPUR AS MELEDAK! PELABUHAN TEL AVIV LULUH LANTAK!...;2026-03-15;19.15;;;;;;;;;;;;;;;;;;;;;;;
GEGER! TURIS MALAYSIA SYOK LIHAT JAKARTA MEWAH...;2026-03-16;20.15;;;;;;;;;;;;;;;;;;;;;;;
NGAKAK KOCAK❗ NETIZEN MALAYSIA KESAL... (Shorts);2026-03-16;19.00;;;;;;;;;;;;;;;;;;;;;;;
GEGER! NETANYAHU SEBENARNYA SUDAH MATI...;2026-03-16;18.15;;;;;;;;;;;;;;;;;;;;;;;
NETANYAHU MUSNAH 99,9%! IRAN: BERIKUTNYA TRUMP!...;2026-03-16;16.15;;;;;;;;;;;;;;;;;;;;;;;
🔴 BREAKING NEWS: RUDAL KHEIBAR SHEKAN... (Live);2026-03-16;14.23;;;;;;;;;;;;;;;;;;;;;;;
SINGAPURA NYERAH! RESMI GABUNG NKRI...;2026-03-16;13.15;;;;;;;;;;;;;;;;;;;;;;;
KEMATIAN NETANYAHU DIBONGKAR MEDIA BARAT!...;2026-03-16;10.15;;;;;;;;;;;;;;;;;;;;;;;
SIANG MALAM ISRAEL DIGEMPUR TANPA AMPUN!...;2026-03-16;07.15;;;;;;;;;;;;;;;;;;;;;;;
SINGAPURA TANTANG PERANG INDONESIA!...;2026-03-17;16.15;;;;;;;;;;;;;;;;;;;;;;;
TRUMP MINTA AMPUN! RATUSAN PANGKALAN AS HANCUR...;2026-03-17;13.15;;;;;;;;;;;;;;;;;;;;;;;
SATU KELUARGA TERANCAM LENYAP! MILITER IRAN...;2026-03-17;10.15;;;;;;;;;;;;;;;;;;;;;;;
GEGER! MALAYSIA-SINGAPURA KETAKUTAN!...;2026-03-17;07.15;;;;;;;;;;;;;;;;;;;;;;;
🔴 BREAKING NEWS: DINASTI NETANYAHU... (Live);2026-03-17;04.18;;;;;;;;;;;;;;;;;;;;;;;
AMERIKA DIAMBANG KEHANCURAN! 15 RIBU TENTARA TEWAS...;2026-03-18;20.15;;;;;;;;;;;;;;;;;;;;;;;
GEGER! TURIS MALAYSIA SYOK LIHAT JAKARTA... (Shorts);2026-03-18;18.30;;;;;;;;;;;;;;;;;;;;;;;
TRUMP NGEMIS KE RUSIA! PUTIN TOLAK MENTAH-MENTAH...;2026-03-18;17.00;;;;;;;;;;;;;;;;;;;;;;;
JENDERAL ISRAEL MENYUSUL NETANYAHU... ;2026-03-18;13.15;;;;;;;;;;;;;;;;;;;;;;;
SINGAPURA MERADANG‼️ PRABOWO KERAHKAN ARMADA...;2026-03-18;10.15;;;;;;;;;;;;;;;;;;;;;;;
🔴 BREAKING NEWS: DRONE SHAHED IRAN... (Live);2026-03-18;10.19;;;;;;;;;;;;;;;;;;;;;;;
AS-ISRAEL TERPOJOK‼️ KORUT, CHINA, RUSIA GABUNG...;2026-03-18;07.15;;;;;;;;;;;;;;;;;;;;;;;
AUSTRALIA-EROPA BERSATU TAMPAR WAJAH TRUMP...;2026-03-19;07.15;;;;;;;;;;;;;;;;;;;;;;;
SINGAPUR-MALAYSIA ZONK! RI PUTUS RANTAI MAKELAR...;2026-03-19;10.15;;;;;;;;;;;;;;;;;;;;;;;
GEMPAR! JURNALIS INDIA BONGKAR LOKASI JASAD...;2026-03-19;13.15;;;;;;;;;;;;;;;;;;;;;;;
VIRAL! WARGA ISRAEL RAMAI-RAMAI KABUR KE INDO...;2026-03-19;16.15;;;;;;;;;;;;;;;;;;;;;;;
🔴 BREAKING NEWS: AMERIKA NYERAH TENTARANYA KABUR! (Live);2026-03-19;16.56;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA MELONGO! INDONESIA EKSPOR BERAS...;2026-03-20;07.15;;;;;;;;;;;;;;;;;;;;;;;
MERAUKE BIKIN DUNIA GEMPAR! BERAS MERAUKE...;2026-03-20;10.15;;;;;;;;;;;;;;;;;;;;;;;
NETANYAHU TERPANGGANG! ISRAEL PANIK TOTAL...;2026-03-20;13.15;;;;;;;;;;;;;;;;;;;;;;;
HEBOH! WARGA MALAYSIA RELA ANTRI BERJAM-JAM...;2026-03-20;16.15;;;;;;;;;;;;;;;;;;;;;;;
TRUMP NANGIS MINTA AMPUN! RATUSAN TENTARA AS...;2026-03-20;18.15;;;;;;;;;;;;;;;;;;;;;;;
AMERIKA DIAMBANG KEHANCURAN! (Shorts);2026-03-20;19.01;;;;;;;;;;;;;;;;;;;;;;;
TRUMP MURKA AKAN MEMBOM NUKLIR IRAN!...;2026-03-20;20.15;;;;;;;;;;;;;;;;;;;;;;;
BOROK TRUMP DIBONGKAR PEJABATNYA SENDIRI!...;2026-03-21;07.15;;;;;;;;;;;;;;;;;;;;;;;
MENCEKAM! RIBUAN WARGA ISRAEL GILA MASSAL!...;2026-03-21;10.15;;;;;;;;;;;;;;;;;;;;;;;
HEBOH! WARGA IRAN TAK MENYANGKA...;2026-03-21;13.15;;;;;;;;;;;;;;;;;;;;;;;
RUSIA-INDONESIA MAKIN SOLID!...;2026-03-21;16.15;;;;;;;;;;;;;;;;;;;;;;;
BIADAB! ISRAEL HUJANI GRANAT WARGA PALESTINA...;2026-03-22;07.15;;;;;;;;;;;;;;;;;;;;;;;
IRAN BOM KAPAL INDUK AS TRUMP NGEMIS...;2026-03-22;10.15;;;;;;;;;;;;;;;;;;;;;;;
